fg%;3p%;ft%;orb;drb;trb;ast;stl;blk;tov;pts;ts%;efg%;3par;ftr;orb%;drb%;trb%;ast%;stl%;blk%;tov%;usg%;ortg;drtg;team;team_opp;total_opp;season;date;won
0.438;0.292;0.727;6.0;23.0;29.0;20.0;9.0;1.0;14.0;93.0;0.519;0.481;0.3;0.275;13.6;85.2;40.8;57.1;9.4;2.0;13.5;100.0;97.0;118.9;WAS;UTA;114;2016;11/03/2016;False
0.567;0.563;0.763;4.0;38.0;42.0;15.0;10.0;4.0;18.0;114.0;0.681;0.634;0.239;0.567;14.8;86.4;59.2;39.5;10.4;7.1;17.7;100.0;118.9;97.0;UTA;WAS;93;2016;11/03/2016;True
0.432;0.375;0.632;16.0;35.0;51.0;21.0;6.0;4.0;12.0;103.0;0.498;0.479;0.253;0.2;32.7;72.9;52.6;51.2;6.3;8.2;10.4;100.0;108.1;123.9;ORL;BOS;118;2018;24/11/2017;False
0.462;0.405;0.68;13.0;33.0;46.0;27.0;6.0;10.0;8.0;118.0;0.578;0.555;0.462;0.275;27.1;67.3;47.4;64.3;6.3;14.1;7.3;100.0;123.9;108.1;BOS;ORL;103;2018;24/11/2017;True
0.5;0.333;0.651;12.0;43.0;55.0;26.0;6.0;8.0;17.0;116.0;0.598;0.564;0.385;0.551;27.9;86.0;59.1;66.7;5.8;13.3;14.9;100.0;112.7;105.0;LAL;POR;108;2020;22/08/2020;True
0.411;0.343;0.947;7.0;31.0;38.0;17.0;7.0;4.0;11.0;108.0;0.522;0.474;0.368;0.2;14.0;72.1;40.9;43.6;6.8;8.3;9.6;100.0;105.0;112.7;POR;LAL;116;2020;22/08/2020;False
0.459;0.293;0.794;11.0;40.0;51.0;31.0;4.0;5.0;6.0;129.0;0.571;0.52;0.418;0.347;20.4;80.0;49.0;68.9;3.8;9.3;5.0;100.0;122.7;120.8;DAL;MEM;127;2019;7/04/2019;True
0.429;0.432;0.857;10.0;43.0;53.0;32.0;4.0;4.0;7.0;127.0;0.576;0.526;0.449;0.286;20.0;79.6;51.0;76.2;3.8;7.0;6.0;100.0;120.8;122.7;MEM;DAL;129;2019;7/04/2019;False
0.426;0.304;0.941;17.0;38.0;55.0;24.0;7.0;8.0;11.0;103.0;0.507;0.463;0.245;0.181;33.3;84.4;57.3;60.0;7.5;14.0;9.8;100.0;110.7;101.0;WAS;PHI;94;2016;26/02/2016;True
0.427;0.32;0.762;7.0;34.0;41.0;21.0;10.0;5.0;11.0;94.0;0.515;0.476;0.305;0.256;15.6;66.7;42.7;60.0;10.7;7.0;10.8;100.0;101.0;110.7;PHI;WAS;103;2016;26/02/2016;False
0.529;0.387;0.821;8.0;38.0;46.0;27.0;6.0;6.0;13.0;125.0;0.642;0.6;0.365;0.329;20.5;79.2;52.9;60.0;5.9;10.3;11.8;100.0;122.4;111.6;SAS;ATL;114;2021;12/02/2021;True
0.433;0.344;0.758;10.0;31.0;41.0;22.0;10.0;4.0;12.0;114.0;0.545;0.494;0.356;0.367;20.8;79.5;47.1;56.4;9.8;7.4;10.3;100.0;111.6;122.4;ATL;SAS;125;2021;12/02/2021;False
0.326;0.133;0.556;16.0;28.0;44.0;14.0;14.0;2.0;13.0;68.0;0.362;0.337;0.174;0.209;28.1;90.3;50.0;50.0;15.6;4.1;12.2;100.0;75.8;104.8;MEM;SAS;94;2016;19/04/2016;False
0.47;0.529;0.821;3.0;41.0;44.0;19.0;8.0;10.0;17.0;94.0;0.6;0.538;0.258;0.424;9.7;71.9;50.0;61.3;8.9;14.1;17.8;100.0;104.8;75.8;SAS;MEM;68;2016;19/04/2016;True
0.446;0.28;0.714;10.0;39.0;49.0;23.0;10.0;6.0;10.0;91.0;0.51;0.488;0.301;0.169;23.3;70.9;50.0;62.2;11.2;8.5;10.1;100.0;102.3;91.1;LAC;LAL;81;2016;6/04/2016;True
0.356;0.211;0.765;16.0;33.0;49.0;12.0;6.0;1.0;12.0;81.0;0.415;0.378;0.211;0.189;29.1;76.7;50.0;37.5;6.7;1.7;11.0;100.0;91.1;102.3;LAL;LAC;91;2016;6/04/2016;False
0.486;0.417;0.72;4.0;35.0;39.0;22.0;4.0;6.0;21.0;103.0;0.62;0.59;0.5;0.347;12.1;77.8;50.0;62.9;4.0;10.2;20.2;100.0;102.6;118.5;IND;ORL;119;2022;28/02/2022;False
0.469;0.324;0.773;10.0;29.0;39.0;29.0;10.0;2.0;10.0;119.0;0.563;0.531;0.385;0.229;22.2;87.9;50.0;64.4;10.0;5.6;8.6;100.0;118.5;102.6;ORL;IND;103;2022;28/02/2022;True
0.473;0.308;0.696;12.0;31.0;43.0;19.0;7.0;3.0;15.0;110.0;0.544;0.516;0.286;0.253;25.5;72.1;47.8;44.2;6.9;5.2;12.9;100.0;108.5;115.4;LAL;SAS;117;2022;7/03/2022;False
0.548;0.346;0.533;12.0;35.0;47.0;28.0;6.0;7.0;16.0;117.0;0.602;0.601;0.31;0.357;27.9;74.5;52.2;60.9;5.9;10.8;14.1;100.0;115.4;108.5;SAS;LAL;110;2022;7/03/2022;True
0.482;0.45;0.8;12.0;47.0;59.0;24.0;4.0;5.0;17.0;119.0;0.593;0.535;0.235;0.412;27.9;85.5;60.2;58.5;3.8;8.8;14.5;100.0;112.4;104.8;PHI;SAC;111;2021;9/02/2021;True
0.434;0.333;0.579;8.0;31.0;39.0;24.0;6.0;8.0;11.0;111.0;0.517;0.505;0.424;0.192;14.5;72.1;39.8;55.8;5.7;12.3;9.3;100.0;104.8;112.4;SAC;PHI;119;2021;9/02/2021;False
0.454;0.373;0.885;9.0;32.0;41.0;30.0;13.0;4.0;16.0;130.0;0.599;0.552;0.526;0.268;19.6;80.0;47.7;68.2;11.5;8.2;12.9;100.0;115.1;106.2;ATL;NOP;120;2019;26/03/2019;True
0.47;0.353;0.75;8.0;37.0;45.0;28.0;10.0;6.0;24.0;120.0;0.596;0.542;0.41;0.482;20.0;80.4;52.3;71.8;8.9;13.0;19.3;100.0;106.2;115.1;NOP;ATL;130;2019;26/03/2019;False
0.488;0.324;0.688;10.0;34.0;44.0;22.0;5.0;7.0;16.0;104.0;0.571;0.554;0.405;0.19;22.2;79.1;50.0;53.7;5.2;13.0;14.9;100.0;107.8;122.3;DET;PHI;118;2021;8/05/2021;False
0.488;0.3;0.871;9.0;35.0;44.0;22.0;11.0;4.0;10.0;118.0;0.604;0.542;0.357;0.369;20.9;77.8;50.0;53.7;11.4;8.0;9.3;100.0;122.3;107.8;PHI;DET;104;2021;8/05/2021;True
0.506;0.387;0.852;7.0;36.0;43.0;34.0;8.0;6.0;9.0;125.0;0.62;0.573;0.348;0.303;18.4;83.7;53.1;75.6;7.9;10.2;8.2;100.0;123.7;111.8;IND;ATL;113;2021;13/02/2021;True
0.478;0.29;0.783;7.0;31.0;38.0;35.0;5.0;4.0;11.0;113.0;0.564;0.528;0.344;0.256;16.3;81.6;46.9;81.4;4.9;6.9;9.9;100.0;111.8;123.7;ATL;IND;125;2021;13/02/2021;False
0.456;0.406;0.611;10.0;37.0;47.0;19.0;4.0;4.0;12.0;106.0;0.541;0.528;0.356;0.2;23.8;82.2;54.0;46.3;4.1;6.1;10.9;100.0;108.8;115.0;DEN;MIN;112;2018;11/04/2018;False
0.472;0.391;0.76;8.0;32.0;40.0;24.0;10.0;2.0;8.0;112.0;0.56;0.522;0.258;0.281;17.8;76.2;46.0;57.1;10.3;3.4;7.4;100.0;115.0;108.8;MIN;DEN;106;2018;11/04/2018;True
0.518;0.3;0.682;8.0;32.0;40.0;25.0;6.0;5.0;12.0;112.0;0.591;0.571;0.353;0.259;21.1;71.1;48.2;56.8;6.2;11.9;11.2;100.0;115.3;123.5;POR;DAL;120;2020;17/01/2020;False
0.438;0.426;0.786;13.0;30.0;43.0;19.0;6.0;4.0;13.0;120.0;0.592;0.551;0.528;0.315;28.9;78.9;51.8;48.7;6.2;7.3;11.4;100.0;123.5;115.3;DAL;POR;112;2020;17/01/2020;True
0.523;0.353;0.852;7.0;40.0;47.0;29.0;5.0;4.0;6.0;125.0;0.639;0.593;0.395;0.314;18.9;83.3;55.3;64.4;5.2;7.0;5.8;100.0;130.4;105.4;CLE;SAS;101;2021;5/04/2021;True
0.422;0.192;0.813;8.0;30.0;38.0;22.0;4.0;3.0;10.0;101.0;0.52;0.452;0.313;0.386;16.7;81.1;44.7;62.9;4.2;5.8;9.3;100.0;105.4;130.4;SAS;CLE;125;2021;5/04/2021;False
